,DPSGD,DPSGD-KF2
0,0.2575,0.3233
1,0.2887,0.3712
2,0.3174,0.4074
3,0.3374,0.4288
4,0.3563,0.4408
5,0.3703,0.4491
6,0.3812,0.4605
7,0.3902,0.4647
8,0.3936,0.4722
9,0.4002,0.4789
10,0.4061,0.4832
11,0.413,0.4893
12,0.4182,0.4943
13,0.4211,0.4934
14,0.4317,0.4977
15,0.4342,0.505
16,0.4381,0.5087
17,0.443,0.507
18,0.4457,0.5077
19,0.448,0.5097
20,0.4492,0.5093
21,0.4556,0.5082
22,0.4574,0.5185
23,0.4627,0.5173
24,0.4627,0.5192
25,0.4655,0.5196
26,0.4667,0.5195
27,0.4693,0.5258
28,0.4722,0.524
29,0.4741,0.5241
30,0.4788,0.5257
31,0.4758,0.5252
32,0.4809,0.5266
33,0.4806,0.5245
34,0.4843,0.5277
35,0.4873,0.5313
36,0.4873,0.5295
37,0.4884,0.5349
38,0.4862,0.5356
39,0.4902,0.5338
40,0.4913,0.5361
41,0.4917,0.5384
42,0.4935,0.539
43,0.4958,0.5418
44,0.497,0.5395
45,0.4977,0.5429
46,0.4976,0.5436
47,0.5,0.5446
48,0.5011,0.5446
49,0.5004,0.5458
