,DPSGD,DPSGD-KF2
0,0.8068,0.8939
1,0.8607,0.925
2,0.8896,0.9372
3,0.9033,0.9448
4,0.9125,0.9489
5,0.9184,0.9544
6,0.9224,0.9583
7,0.9268,0.9587
8,0.9288,0.9632
9,0.9352,0.9643
10,0.9371,0.9651
11,0.939,0.9652
12,0.9415,0.9663
13,0.9431,0.9691
14,0.9457,0.9682
15,0.947,0.9702
16,0.949,0.9718
17,0.9503,0.9728
18,0.9504,0.9722
19,0.9521,0.9722
20,0.9531,0.9739
21,0.9551,0.9725
22,0.9552,0.974
23,0.9566,0.9734
24,0.9577,0.9736
25,0.9589,0.9742
26,0.9601,0.9746
27,0.9593,0.9725
28,0.9608,0.9742
29,0.962,0.9756
30,0.9627,0.9752
31,0.9631,0.9734
32,0.9644,0.9742
33,0.9644,0.9742
34,0.9656,0.9744
35,0.9661,0.9745
36,0.9672,0.9748
37,0.9678,0.9753
38,0.968,0.9751
39,0.968,0.9747
40,0.9684,0.9754
41,0.9683,0.9746
42,0.9687,0.9736
43,0.969,0.9743
44,0.9693,0.9746
45,0.9694,0.9748
46,0.9707,0.9744
47,0.9708,0.9747
48,0.972,0.9747
49,0.9719,0.9746
