,DPSGD,DPSGD-KF2
0,0.612,0.651
1,0.627,0.686
2,0.636,0.729
3,0.651,0.741
4,0.659,0.75
5,0.672,0.756
6,0.678,0.759
7,0.689,0.76
8,0.7,0.759
9,0.712,0.757
10,0.721,0.754
11,0.727,0.756
12,0.731,0.761
13,0.736,0.761
14,0.743,0.76
15,0.743,0.76
16,0.742,0.758
17,0.742,0.758
18,0.748,0.754
19,0.749,0.754
20,0.751,0.755
21,0.754,0.755
22,0.755,0.754
23,0.758,0.755
24,0.76,0.755
25,0.761,0.756
26,0.757,0.756
27,0.757,0.755
28,0.76,0.755
29,0.759,0.754
30,0.758,0.755
31,0.759,0.755
32,0.762,0.756
33,0.76,0.755
34,0.759,0.751
35,0.759,0.751
36,0.76,0.752
37,0.755,0.751
38,0.755,0.751
39,0.757,0.754
40,0.759,0.755
41,0.756,0.752
42,0.755,0.754
43,0.757,0.753
44,0.758,0.753
45,0.759,0.752
46,0.759,0.753
47,0.759,0.752
48,0.759,0.752
49,0.759,0.752
