,DPSGD,DPSGD-KF2
0,0.7928,0.8768
1,0.847,0.8956
2,0.8707,0.9049
3,0.8804,0.9116
4,0.8878,0.9163
5,0.8942,0.9193
6,0.8976,0.9221
7,0.9006,0.9231
8,0.9028,0.9246
9,0.9057,0.9268
10,0.9073,0.9292
11,0.9102,0.9307
12,0.9125,0.9307
13,0.9146,0.9323
14,0.9162,0.9321
15,0.9182,0.933
16,0.9185,0.9352
17,0.9194,0.9363
18,0.921,0.9378
19,0.9219,0.9377
20,0.9229,0.9395
21,0.9244,0.9412
22,0.9242,0.9391
23,0.9246,0.9401
24,0.9255,0.9411
25,0.9265,0.9408
26,0.9272,0.9408
27,0.928,0.9415
28,0.9295,0.9422
29,0.93,0.9416
30,0.9301,0.9444
31,0.9303,0.9433
32,0.9312,0.9422
33,0.9314,0.9426
34,0.9326,0.942
35,0.9326,0.9438
36,0.9334,0.9445
37,0.9344,0.9458
38,0.9343,0.9458
39,0.9348,0.9453
40,0.9347,0.9442
41,0.9359,0.9437
42,0.937,0.9444
43,0.9375,0.9443
44,0.9382,0.944
45,0.9382,0.9431
46,0.9386,0.9457
47,0.9393,0.9464
48,0.9389,0.9463
49,0.9399,0.9465
