,DPSGD,DPSGD-KFGrad
0,0.2159,0.2557
1,0.2704,0.283
2,0.2833,0.3011
3,0.2911,0.3183
4,0.3064,0.3354
5,0.3202,0.3465
6,0.3322,0.3581
7,0.3403,0.3679
8,0.3473,0.375
9,0.3556,0.3809
10,0.3611,0.3865
11,0.3664,0.3921
12,0.3721,0.3978
13,0.3757,0.4045
14,0.3823,0.4103
15,0.3885,0.4155
16,0.39,0.4196
17,0.3952,0.4241
18,0.3983,0.4282
19,0.4023,0.4316
20,0.4045,0.4345
21,0.4073,0.4388
22,0.4121,0.4411
23,0.4155,0.4435
24,0.4182,0.4474
25,0.4218,0.4506
26,0.4252,0.4524
27,0.4269,0.455
28,0.4304,0.4571
29,0.4351,0.4597
30,0.4358,0.4612
31,0.4361,0.4624
32,0.4381,0.4646
33,0.4394,0.4661
34,0.4418,0.4673
35,0.4418,0.4669
36,0.4459,0.4694
37,0.4467,0.47
38,0.4476,0.4717
39,0.4483,0.4733
40,0.4508,0.4737
41,0.4517,0.4756
42,0.4554,0.4759
43,0.4572,0.4781
44,0.4582,0.4769
45,0.46,0.4802
46,0.4612,0.4821
47,0.462,0.4828
48,0.4636,0.4837
49,0.4621,0.4835
