,DPSGD,DPSGD-KFGrad
0,0.6278,0.6963
1,0.744,0.8064
2,0.8039,0.8459
3,0.8355,0.8713
4,0.8556,0.881
5,0.8675,0.8877
6,0.8773,0.8942
7,0.8817,0.8999
8,0.8883,0.9045
9,0.8916,0.9079
10,0.8956,0.9116
11,0.8993,0.9148
12,0.9019,0.9173
13,0.9054,0.9199
14,0.908,0.9231
15,0.9107,0.9237
16,0.9124,0.9256
17,0.9136,0.9288
18,0.9158,0.9306
19,0.9174,0.9324
20,0.9197,0.9337
21,0.9216,0.9363
22,0.9235,0.9372
23,0.9243,0.9372
24,0.9253,0.9384
25,0.9278,0.94
26,0.9281,0.9421
27,0.9299,0.9424
28,0.9322,0.9437
29,0.9326,0.9449
30,0.9337,0.9463
31,0.934,0.9467
32,0.9354,0.9485
33,0.9365,0.9491
34,0.9371,0.9495
35,0.9375,0.9511
36,0.938,0.9513
37,0.9401,0.9531
38,0.9405,0.9541
39,0.9413,0.9552
40,0.9423,0.9557
41,0.9431,0.9565
42,0.9436,0.957
43,0.9444,0.9583
44,0.9451,0.9587
45,0.9459,0.9594
46,0.9472,0.9596
47,0.948,0.9602
48,0.9487,0.9601
49,0.9495,0.961
