,DPSGD,DPSGD-KFGrad
0,0.605,0.607
1,0.608,0.616
2,0.614,0.627
3,0.624,0.633
4,0.627,0.647
5,0.633,0.655
6,0.643,0.664
7,0.648,0.667
8,0.654,0.675
9,0.664,0.686
10,0.669,0.695
11,0.668,0.701
12,0.674,0.709
13,0.683,0.713
14,0.689,0.712
15,0.693,0.716
16,0.698,0.718
17,0.702,0.725
18,0.707,0.727
19,0.712,0.73
20,0.714,0.733
21,0.713,0.737
22,0.713,0.74
23,0.716,0.74
24,0.717,0.742
25,0.722,0.743
26,0.725,0.744
27,0.726,0.746
28,0.727,0.745
29,0.729,0.746
30,0.732,0.751
31,0.734,0.751
32,0.734,0.75
33,0.739,0.751
34,0.74,0.752
35,0.74,0.75
36,0.743,0.752
37,0.744,0.755
38,0.744,0.755
39,0.745,0.755
40,0.745,0.756
41,0.746,0.755
42,0.747,0.754
43,0.747,0.756
44,0.751,0.754
45,0.75,0.751
46,0.75,0.75
47,0.751,0.748
48,0.75,0.748
49,0.751,0.748
