,DPSGD,DPSGD-KFGrad
0,0.7158,0.7548
1,0.7814,0.8163
2,0.8162,0.8504
3,0.8428,0.8675
4,0.8569,0.8791
5,0.8668,0.8859
6,0.8764,0.8916
7,0.8825,0.8959
8,0.8853,0.8993
9,0.8892,0.9017
10,0.8916,0.9029
11,0.8946,0.9049
12,0.8979,0.907
13,0.899,0.9092
14,0.9006,0.9098
15,0.903,0.9115
16,0.9042,0.9131
17,0.905,0.9143
18,0.9066,0.9155
19,0.9072,0.9163
20,0.9082,0.9178
21,0.91,0.9187
22,0.9107,0.9204
23,0.9121,0.9207
24,0.9126,0.9221
25,0.914,0.9226
26,0.9151,0.9231
27,0.9155,0.9237
28,0.9161,0.9234
29,0.9171,0.925
30,0.9182,0.9258
31,0.919,0.9262
32,0.9192,0.9268
33,0.9197,0.9266
34,0.9205,0.9275
35,0.9204,0.9285
36,0.9212,0.9287
37,0.9215,0.929
38,0.9222,0.9292
39,0.9223,0.9302
40,0.9228,0.9293
41,0.923,0.9299
42,0.9239,0.9308
43,0.9246,0.9311
44,0.9247,0.932
45,0.9252,0.9318
46,0.926,0.9331
47,0.9263,0.9338
48,0.926,0.933
49,0.9268,0.9342
