,DPSGD,DPSGD-KFGrad
0,0.2977,0.3056
1,0.3461,0.3517
2,0.3771,0.3839
3,0.3997,0.4052
4,0.4139,0.4179
5,0.4212,0.4269
6,0.4354,0.439
7,0.4397,0.4452
8,0.4436,0.45
9,0.4514,0.4547
10,0.4584,0.4613
11,0.4609,0.4668
12,0.4698,0.4751
13,0.4742,0.4782
14,0.4766,0.4846
15,0.4828,0.4869
16,0.4839,0.4878
17,0.4908,0.4946
18,0.4911,0.4954
19,0.4929,0.4965
20,0.496,0.4995
21,0.4974,0.4991
22,0.5002,0.5044
23,0.5016,0.5034
24,0.5042,0.5056
25,0.5031,0.5071
26,0.5045,0.5086
27,0.5054,0.5078
28,0.5073,0.5106
29,0.5079,0.5115
30,0.5128,0.5163
31,0.513,0.5174
32,0.5146,0.5161
33,0.5123,0.5174
34,0.5135,0.5185
35,0.5216,0.5235
36,0.5202,0.5254
37,0.5194,0.5233
38,0.5243,0.5263
39,0.5248,0.527
40,0.5204,0.5247
41,0.5276,0.5289
42,0.5266,0.5291
43,0.5268,0.5311
44,0.5267,0.5301
45,0.5337,0.5358
46,0.5321,0.5363
47,0.5326,0.5359
48,0.5276,0.5338
49,0.5264,0.5367
