,DPSGD,DPSGD-KFGrad
0,0.8836,0.8891
1,0.9137,0.9173
2,0.9265,0.9302
3,0.9359,0.9384
4,0.9426,0.9453
5,0.9492,0.9522
6,0.9515,0.9543
7,0.9549,0.9573
8,0.9575,0.9602
9,0.9609,0.9631
10,0.9615,0.9639
11,0.9633,0.9655
12,0.9658,0.9675
13,0.9682,0.9699
14,0.9684,0.9701
15,0.9693,0.9711
16,0.9705,0.9723
17,0.9725,0.9737
18,0.9727,0.9736
19,0.9733,0.9739
20,0.9736,0.9748
21,0.975,0.9757
22,0.9752,0.9756
23,0.9765,0.9771
24,0.9759,0.9767
25,0.9765,0.9774
26,0.9758,0.976
27,0.9765,0.9773
28,0.9761,0.9768
29,0.9765,0.9774
30,0.9765,0.977
31,0.9758,0.9762
32,0.9772,0.9771
33,0.9773,0.9773
34,0.9771,0.9771
35,0.9777,0.9769
36,0.9775,0.9775
37,0.9768,0.9767
38,0.9779,0.9779
39,0.9777,0.9773
40,0.9777,0.9772
41,0.9775,0.9777
42,0.9778,0.9781
43,0.9783,0.9784
44,0.9782,0.9781
45,0.9778,0.978
46,0.9789,0.9787
47,0.978,0.9786
48,0.9776,0.9785
49,0.9786,0.9788
