,DPSGD,DPSGD-KFGrad
0,0.861,0.8646
1,0.8846,0.8872
2,0.8979,0.899
3,0.9023,0.9041
4,0.9089,0.9104
5,0.9144,0.9154
6,0.9153,0.9176
7,0.9195,0.9212
8,0.9212,0.9229
9,0.9212,0.9218
10,0.924,0.9252
11,0.9252,0.9265
12,0.9277,0.9293
13,0.9292,0.9303
14,0.9297,0.9306
15,0.9305,0.9321
16,0.9325,0.9348
17,0.9338,0.9346
18,0.9343,0.9355
19,0.9353,0.9372
20,0.9364,0.9379
21,0.9381,0.9396
22,0.9395,0.9398
23,0.9393,0.9406
24,0.9398,0.9398
25,0.9387,0.9403
26,0.9415,0.9416
27,0.942,0.9428
28,0.9434,0.9433
29,0.9427,0.9436
30,0.9436,0.9437
31,0.9444,0.9452
32,0.9445,0.9448
33,0.9438,0.9439
34,0.9447,0.9442
35,0.9453,0.946
36,0.9459,0.9466
37,0.9456,0.9467
38,0.946,0.9464
39,0.9462,0.9461
40,0.946,0.9465
41,0.9471,0.9474
42,0.9478,0.9475
43,0.9477,0.9478
44,0.9466,0.9467
45,0.9471,0.9478
46,0.9488,0.9481
47,0.9477,0.949
48,0.9491,0.9491
49,0.9496,0.9484
