,DPSGD-M,DPSGD-KFGrad-M-KFParam
0,0.2311,0.2712
1,0.2548,0.3054
2,0.2757,0.3346
3,0.2925,0.3562
4,0.3059,0.3727
5,0.3208,0.3791
6,0.332,0.3878
7,0.3431,0.4012
8,0.3536,0.4084
9,0.3598,0.4174
10,0.3687,0.421
11,0.3744,0.4261
12,0.3789,0.4286
13,0.381,0.4384
14,0.3833,0.4386
15,0.3873,0.4429
16,0.3896,0.4476
17,0.396,0.4516
18,0.399,0.453
19,0.4036,0.4596
20,0.406,0.4633
21,0.4095,0.4655
22,0.4108,0.4671
23,0.4161,0.4671
24,0.4189,0.4718
25,0.4228,0.4787
26,0.4262,0.4794
27,0.4291,0.4815
28,0.4328,0.4837
29,0.4349,0.486
30,0.4379,0.4885
31,0.4387,0.4907
32,0.4393,0.4921
33,0.4417,0.4915
34,0.4437,0.4923
35,0.4457,0.4961
36,0.4449,0.4972
37,0.4498,0.4992
38,0.4483,0.5014
39,0.451,0.5045
40,0.4524,0.5061
41,0.4528,0.5065
42,0.4543,0.5076
43,0.4573,0.5113
44,0.4587,0.5125
45,0.4609,0.5143
46,0.4635,0.512
47,0.4636,0.516
48,0.4666,0.518
49,0.4694,0.5151
50,0.4679,0.5155
51,0.4703,0.5183
52,0.4708,0.5197
53,0.4721,0.5203
54,0.473,0.5215
55,0.4733,0.5224
56,0.4752,0.522
57,0.4766,0.5267
58,0.4778,0.5252
59,0.4791,0.5247
60,0.4784,0.5253
61,0.4821,0.5262
62,0.4805,0.5253
63,0.4829,0.5287
64,0.485,0.5283
65,0.4866,0.528
66,0.488,0.5305
67,0.4871,0.5299
68,0.4902,0.53
69,0.492,0.5309
70,0.4894,0.5305
71,0.4932,0.5338
72,0.4892,0.5339
73,0.4936,0.5338
74,0.4956,0.5342
75,0.4912,0.5327
76,0.4938,0.5362
77,0.4931,0.5357
78,0.4958,0.5389
79,0.4959,0.5377
80,0.4966,0.5351
81,0.4974,0.5383
82,0.4976,0.5378
83,0.5012,0.5374
84,0.5027,0.539
85,0.5031,0.5386
86,0.5043,0.5381
87,0.5028,0.5382
88,0.5039,0.5401
89,0.5057,0.5416
90,0.5073,0.5394
91,0.5062,0.5412
92,0.5077,0.5394
93,0.5077,0.5396
94,0.5072,0.5393
95,0.5107,0.5408
96,0.5114,0.5406
97,0.5114,0.5416
98,0.511,0.5403
99,0.5127,0.5432
