,DPSGD-M,DPSGD-KFGrad-M-KFParam
0,0.6992,0.8315
1,0.8128,0.8824
2,0.8467,0.9074
3,0.8675,0.9155
4,0.8832,0.9227
5,0.8967,0.928
6,0.9031,0.9327
7,0.9093,0.938
8,0.9114,0.9405
9,0.9175,0.9438
10,0.9188,0.9469
11,0.9232,0.9503
12,0.9257,0.952
13,0.9268,0.9526
14,0.9293,0.9532
15,0.9326,0.956
16,0.9343,0.9588
17,0.9348,0.9586
18,0.9364,0.9595
19,0.9374,0.9605
20,0.9398,0.9616
21,0.9413,0.9626
22,0.9433,0.964
23,0.9438,0.9647
24,0.9441,0.9655
25,0.9454,0.9663
26,0.9455,0.9671
27,0.9473,0.9677
28,0.9485,0.9688
29,0.9489,0.9687
30,0.9497,0.9695
31,0.9498,0.9697
32,0.9501,0.9705
33,0.9508,0.9717
34,0.9522,0.9719
35,0.9529,0.9711
36,0.9537,0.9721
37,0.9551,0.9725
38,0.9558,0.9743
39,0.9571,0.9736
40,0.9577,0.9739
41,0.9578,0.9746
42,0.9592,0.9752
43,0.9593,0.9744
44,0.9597,0.9744
45,0.9603,0.9757
46,0.9603,0.9751
47,0.9609,0.9761
48,0.9615,0.9759
49,0.9625,0.9763
50,0.9633,0.9768
51,0.9622,0.9765
52,0.963,0.9764
53,0.9636,0.9761
54,0.964,0.9769
55,0.9645,0.9766
56,0.9643,0.9766
57,0.9646,0.9774
58,0.9644,0.9768
59,0.9665,0.9773
60,0.9665,0.9776
61,0.9662,0.9781
62,0.9659,0.9779
63,0.9665,0.9788
64,0.967,0.9792
65,0.967,0.979
66,0.9678,0.979
67,0.9684,0.9788
68,0.9681,0.9787
69,0.9692,0.9789
70,0.9696,0.9785
71,0.9695,0.9789
72,0.9703,0.9795
73,0.971,0.9792
74,0.9712,0.9799
75,0.9715,0.9801
76,0.9724,0.9797
77,0.9712,0.9789
78,0.9725,0.9802
79,0.9724,0.9797
80,0.9731,0.98
81,0.9733,0.9805
82,0.9733,0.98
83,0.9731,0.9797
84,0.9736,0.9805
85,0.9737,0.9799
86,0.974,0.9804
87,0.9741,0.9807
88,0.9739,0.9806
89,0.9743,0.9805
90,0.9744,0.9804
91,0.9746,0.9806
92,0.9751,0.981
93,0.9754,0.9812
94,0.9752,0.9808
95,0.976,0.9811
96,0.9759,0.9811
97,0.9756,0.9809
98,0.9761,0.9811
99,0.9768,0.9808
