,ACC,DPSGD-M-KFParam,DPSGD-M-PID
0,0.9113,0.9113,0.9154
1,0.9358,0.9358,0.938
2,0.9487,0.9487,0.951
3,0.9558,0.9558,0.9578
4,0.9589,0.9589,0.9611
5,0.9647,0.9647,0.9659
6,0.966,0.966,0.9684
7,0.9687,0.9687,0.9699
8,0.9718,0.9718,0.9726
9,0.9735,0.9735,0.9746
10,0.9727,0.9727,0.974
11,0.9751,0.975,0.9749
12,0.9773,0.9767,0.9772
13,0.9768,0.9762,0.9764
14,0.9763,0.9766,0.9768
15,0.9781,0.978,0.9786
16,0.9782,0.9782,0.9785
17,0.9776,0.9776,0.9778
18,0.977,0.9777,0.9772
19,0.9781,0.9792,0.9777
20,0.9786,0.9791,0.978
21,0.9785,0.9792,0.9777
22,0.9797,0.9799,0.9801
23,0.9815,0.9812,0.9815
24,0.9802,0.9801,0.9805
25,0.9812,0.9816,0.9811
26,0.9792,0.9802,0.9795
27,0.9804,0.9806,0.9807
28,0.9816,0.9815,0.981
29,0.9804,0.9805,0.9795
30,0.9808,0.9805,0.981
31,0.9812,0.9806,0.9808
32,0.9805,0.9805,0.9807
33,0.9794,0.9805,0.9789
34,0.982,0.9825,0.9817
35,0.9796,0.9809,0.9793
36,0.9821,0.9821,0.9812
37,0.9817,0.9826,0.9817
38,0.9823,0.9829,0.9821
39,0.9818,0.9824,0.9812
40,0.9812,0.9819,0.9809
41,0.9818,0.9825,0.9818
42,0.9815,0.9823,0.9807
43,0.9811,0.9826,0.9805
44,0.9805,0.9816,0.9802
45,0.9827,0.9823,0.9824
46,0.9803,0.9814,0.9805
47,0.9809,0.982,0.9806
48,0.981,0.9814,0.981
49,0.9804,0.9814,0.981
50,0.9814,0.9817,0.9813
51,0.9806,0.981,0.9805
52,0.9815,0.982,0.9813
53,0.9794,0.9806,0.9793
54,0.9808,0.9818,0.9804
55,0.9802,0.9825,0.9804
56,0.9815,0.9833,0.9815
57,0.9818,0.9829,0.981
58,0.9818,0.9839,0.9808
59,0.9821,0.9831,0.9819
60,0.981,0.9822,0.9801
61,0.9828,0.9841,0.9827
62,0.98,0.9822,0.9802
63,0.9814,0.9835,0.9812
64,0.982,0.9837,0.9815
65,0.9817,0.9828,0.9818
66,0.9811,0.9839,0.9808
67,0.9813,0.9833,0.9812
68,0.9815,0.9833,0.9809
69,0.9806,0.9828,0.98
70,0.9814,0.9829,0.9816
71,0.9809,0.983,0.9805
72,0.9817,0.9828,0.9812
73,0.9808,0.9834,0.9806
74,0.9808,0.9824,0.9806
75,0.9821,0.9839,0.9812
76,0.9804,0.9825,0.9806
77,0.9815,0.9827,0.9815
78,0.9809,0.9839,0.9812
79,0.9831,0.9837,0.9838
80,0.9823,0.9842,0.9827
81,0.9826,0.9841,0.9815
82,0.9812,0.9838,0.9809
83,0.9814,0.9835,0.9813
84,0.9811,0.9846,0.9798
85,0.9806,0.9845,0.9809
86,0.9821,0.9848,0.9812
87,0.9816,0.9847,0.9819
88,0.9823,0.9851,0.9823
89,0.9828,0.985,0.9822
90,0.9829,0.9846,0.983
91,0.9828,0.984,0.9823
92,0.9821,0.9845,0.9819
93,0.9827,0.9848,0.9825
94,0.9822,0.985,0.9808
95,0.9821,0.9845,0.9825
96,0.9811,0.9845,0.9805
97,0.9812,0.9852,0.9816
98,0.981,0.9843,0.981
99,0.9817,0.985,0.9811
