,DPSGD-M,DPSGD-KFGrad-M-KFParam
0,0.736,0.727
1,0.749,0.732
2,0.753,0.746
3,0.745,0.736
4,0.756,0.734
5,0.76,0.722
6,0.757,0.74
7,0.743,0.721
8,0.75,0.719
9,0.75,0.722
10,0.746,0.72
11,0.75,0.754
12,0.755,0.698
13,0.745,0.733
14,0.744,0.721
15,0.754,0.726
16,0.753,0.735
17,0.754,0.733
18,0.754,0.744
19,0.749,0.723
20,0.751,0.736
21,0.751,0.72
22,0.761,0.733
23,0.744,0.728
24,0.749,0.738
25,0.747,0.748
26,0.741,0.694
27,0.744,0.741
28,0.752,0.734
29,0.747,0.729
30,0.743,0.746
31,0.746,0.727
32,0.752,0.748
33,0.75,0.721
34,0.749,0.745
35,0.753,0.723
36,0.752,0.723
37,0.761,0.715
38,0.758,0.744
39,0.747,0.737
40,0.759,0.726
41,0.749,0.721
42,0.753,0.752
43,0.746,0.715
44,0.754,0.725
45,0.753,0.73
46,0.741,0.759
47,0.752,0.744
48,0.745,0.745
49,0.751,0.734
50,0.749,0.742
51,0.752,0.736
52,0.751,0.734
53,0.744,0.731
54,0.744,0.737
55,0.749,0.747
56,0.755,0.742
57,0.747,0.74
58,0.75,0.75
59,0.75,0.743
60,0.757,0.75
61,0.753,0.753
62,0.745,0.746
63,0.746,0.74
64,0.746,0.741
65,0.749,0.747
66,0.755,0.736
67,0.747,0.731
68,0.739,0.733
69,0.737,0.721
70,0.751,0.74
71,0.752,0.747
72,0.751,0.736
73,0.747,0.738
74,0.745,0.755
75,0.751,0.747
76,0.744,0.728
77,0.748,0.76
78,0.743,0.74
79,0.753,0.753
80,0.75,0.742
81,0.753,0.748
82,0.738,0.738
83,0.746,0.743
84,0.748,0.731
85,0.749,0.748
86,0.757,0.758
87,0.753,0.732
88,0.755,0.746
89,0.756,0.766
90,0.752,0.74
91,0.754,0.755
92,0.76,0.74
93,0.747,0.735
94,0.753,0.749
95,0.749,0.751
96,0.744,0.736
97,0.751,0.749
98,0.757,0.754
99,0.752,0.749
