,ACC,DPSGD-M-KFParam,DPSGD-M-PID
0,0.656,0.656,0.664
1,0.714,0.714,0.718
2,0.74,0.74,0.746
3,0.747,0.747,0.752
4,0.756,0.756,0.76
5,0.757,0.757,0.756
6,0.758,0.758,0.76
7,0.761,0.761,0.761
8,0.759,0.759,0.76
9,0.759,0.759,0.758
10,0.757,0.757,0.755
11,0.754,0.755,0.754
12,0.751,0.751,0.752
13,0.753,0.754,0.751
14,0.756,0.756,0.755
15,0.753,0.754,0.753
16,0.754,0.754,0.751
17,0.753,0.753,0.753
18,0.756,0.756,0.754
19,0.756,0.755,0.755
20,0.751,0.751,0.752
21,0.753,0.753,0.754
22,0.757,0.756,0.756
23,0.756,0.756,0.755
24,0.755,0.755,0.755
25,0.754,0.754,0.754
26,0.755,0.755,0.755
27,0.751,0.751,0.751
28,0.751,0.75,0.751
29,0.751,0.752,0.751
30,0.752,0.752,0.753
31,0.754,0.754,0.754
32,0.754,0.754,0.754
33,0.756,0.755,0.756
34,0.755,0.755,0.755
35,0.754,0.755,0.753
36,0.75,0.753,0.75
37,0.752,0.753,0.752
38,0.751,0.751,0.75
39,0.752,0.752,0.752
40,0.749,0.749,0.749
41,0.749,0.749,0.748
42,0.747,0.747,0.747
43,0.75,0.75,0.751
44,0.752,0.751,0.752
45,0.75,0.75,0.75
46,0.749,0.75,0.75
47,0.75,0.75,0.75
48,0.751,0.751,0.75
49,0.753,0.75,0.753
50,0.751,0.752,0.751
51,0.753,0.751,0.753
52,0.75,0.752,0.751
53,0.75,0.751,0.751
54,0.751,0.751,0.752
55,0.752,0.752,0.751
56,0.749,0.75,0.749
57,0.752,0.751,0.752
58,0.753,0.754,0.753
59,0.752,0.75,0.753
60,0.751,0.749,0.751
61,0.754,0.754,0.754
62,0.753,0.753,0.753
63,0.751,0.751,0.752
64,0.752,0.751,0.752
65,0.75,0.75,0.75
66,0.751,0.752,0.749
67,0.747,0.749,0.747
68,0.753,0.75,0.753
69,0.751,0.749,0.752
70,0.752,0.751,0.754
71,0.752,0.75,0.752
72,0.755,0.751,0.755
73,0.754,0.752,0.755
74,0.756,0.752,0.756
75,0.754,0.752,0.753
76,0.754,0.753,0.754
77,0.753,0.753,0.753
78,0.756,0.754,0.756
79,0.754,0.754,0.754
80,0.753,0.751,0.753
81,0.75,0.75,0.75
82,0.75,0.751,0.75
83,0.751,0.752,0.752
84,0.753,0.753,0.753
85,0.754,0.754,0.754
86,0.754,0.753,0.754
87,0.754,0.753,0.754
88,0.752,0.754,0.752
89,0.755,0.753,0.755
90,0.754,0.754,0.754
91,0.755,0.755,0.755
92,0.754,0.752,0.754
93,0.754,0.752,0.754
94,0.753,0.752,0.754
95,0.756,0.753,0.756
96,0.753,0.753,0.753
97,0.753,0.753,0.753
98,0.75,0.752,0.75
99,0.752,0.753,0.752
