,DPSGD-M,DPSGD-KFGrad-M-KFParam
0,0.7176,0.8133
1,0.7952,0.8619
2,0.8293,0.8803
3,0.8512,0.8904
4,0.8635,0.8972
5,0.8731,0.9026
6,0.8795,0.9072
7,0.8836,0.9111
8,0.887,0.9143
9,0.8904,0.9151
10,0.8928,0.9167
11,0.8955,0.9185
12,0.898,0.9221
13,0.8996,0.923
14,0.9018,0.9241
15,0.9034,0.9251
16,0.9051,0.9257
17,0.9063,0.926
18,0.908,0.9278
19,0.9083,0.9293
20,0.9099,0.9295
21,0.9103,0.9299
22,0.9127,0.9316
23,0.9138,0.9319
24,0.9146,0.9329
25,0.9151,0.9331
26,0.9164,0.934
27,0.9181,0.9345
28,0.918,0.9353
29,0.9188,0.9362
30,0.9197,0.936
31,0.9209,0.9365
32,0.9215,0.9378
33,0.9232,0.9394
34,0.9231,0.9393
35,0.9242,0.9395
36,0.9245,0.9403
37,0.9252,0.9419
38,0.9256,0.941
39,0.9257,0.9423
40,0.9267,0.9423
41,0.9278,0.9439
42,0.9287,0.944
43,0.9285,0.944
44,0.9292,0.945
45,0.9297,0.9461
46,0.9308,0.9461
47,0.9305,0.9464
48,0.9308,0.9461
49,0.9311,0.9467
50,0.9315,0.947
51,0.9312,0.9474
52,0.9317,0.9472
53,0.9309,0.9479
54,0.9316,0.9481
55,0.9326,0.9491
56,0.9333,0.9493
57,0.934,0.9496
58,0.9341,0.9495
59,0.9344,0.9505
60,0.9343,0.9507
61,0.9357,0.9505
62,0.9356,0.9498
63,0.937,0.9515
64,0.9368,0.9516
65,0.9374,0.9509
66,0.9378,0.9519
67,0.9382,0.9519
68,0.9385,0.9519
69,0.9382,0.9524
70,0.939,0.9526
71,0.9389,0.9532
72,0.9389,0.9528
73,0.9398,0.9531
74,0.9395,0.953
75,0.9398,0.9531
76,0.9407,0.9536
77,0.9403,0.9546
78,0.9405,0.9551
79,0.9412,0.9543
80,0.942,0.954
81,0.9424,0.9542
82,0.9425,0.9547
83,0.9426,0.955
84,0.9432,0.9549
85,0.9432,0.955
86,0.9436,0.9553
87,0.9446,0.9559
88,0.9436,0.9559
89,0.9444,0.9562
90,0.9442,0.9559
91,0.9448,0.9564
92,0.945,0.9562
93,0.946,0.9567
94,0.9459,0.9566
95,0.9468,0.9564
96,0.9466,0.9564
97,0.9457,0.9569
98,0.946,0.9569
99,0.9471,0.9571
