,ACC,DPSGD-M-KFParam,DPSGD-M-PID
0,0.8883,0.8883,0.8911
1,0.9094,0.9094,0.9112
2,0.9169,0.9169,0.9194
3,0.9238,0.9238,0.9246
4,0.9302,0.9302,0.9316
5,0.9311,0.9311,0.9328
6,0.9342,0.9342,0.9366
7,0.9375,0.9375,0.9389
8,0.9387,0.9387,0.9395
9,0.9419,0.9419,0.9427
10,0.943,0.943,0.944
11,0.9454,0.9462,0.9469
12,0.9484,0.9483,0.949
13,0.9505,0.9503,0.952
14,0.9504,0.9503,0.9513
15,0.9513,0.9515,0.9523
16,0.9535,0.9538,0.9539
17,0.9539,0.9541,0.9547
18,0.9554,0.9545,0.9559
19,0.9559,0.9555,0.9554
20,0.9555,0.9553,0.9556
21,0.9567,0.9569,0.9573
22,0.9584,0.958,0.9579
23,0.9588,0.959,0.9586
24,0.9588,0.9579,0.9585
25,0.9587,0.9594,0.9578
26,0.9587,0.9595,0.958
27,0.9598,0.9611,0.9592
28,0.9588,0.96,0.9577
29,0.9597,0.9606,0.9595
30,0.958,0.9595,0.9569
31,0.9596,0.9613,0.9594
32,0.9611,0.9625,0.9599
33,0.9609,0.9616,0.9601
34,0.9622,0.9625,0.9605
35,0.9626,0.9647,0.9622
36,0.9634,0.9636,0.9619
37,0.9633,0.9649,0.962
38,0.9623,0.9642,0.9608
39,0.9626,0.9641,0.9614
40,0.9621,0.9639,0.9608
41,0.9619,0.964,0.9595
42,0.9628,0.965,0.9616
43,0.9622,0.9635,0.9613
44,0.9645,0.966,0.9624
45,0.9628,0.9648,0.9602
46,0.9618,0.9654,0.9599
47,0.9627,0.9644,0.9606
48,0.963,0.9657,0.9598
49,0.9616,0.965,0.96
50,0.962,0.9647,0.9597
51,0.9614,0.9653,0.961
52,0.9629,0.9651,0.9601
53,0.9627,0.9654,0.9609
54,0.962,0.9664,0.9606
55,0.9627,0.9663,0.9606
56,0.9621,0.9669,0.9604
57,0.9632,0.9668,0.9608
58,0.964,0.9672,0.962
59,0.9625,0.9673,0.9605
60,0.9631,0.9672,0.9616
61,0.9633,0.9683,0.961
62,0.9636,0.9681,0.9609
63,0.9627,0.9681,0.9592
64,0.9631,0.9679,0.9616
65,0.9618,0.9675,0.96
66,0.9617,0.9679,0.9599
67,0.962,0.9683,0.9605
68,0.9632,0.969,0.9607
69,0.9632,0.9686,0.9608
70,0.9628,0.9681,0.9607
71,0.9608,0.968,0.9587
72,0.9616,0.9682,0.9589
73,0.963,0.9688,0.9601
74,0.962,0.9696,0.9587
75,0.9635,0.9699,0.9603
76,0.9616,0.9698,0.9594
77,0.9625,0.9696,0.9596
78,0.9631,0.9694,0.9612
79,0.9631,0.9699,0.9613
80,0.9622,0.9696,0.9591
81,0.9625,0.9688,0.9596
82,0.9646,0.9698,0.9611
83,0.964,0.97,0.9615
84,0.9629,0.97,0.9601
85,0.9651,0.9702,0.9615
86,0.9633,0.9698,0.9607
87,0.9616,0.9702,0.9602
88,0.9621,0.9711,0.9603
89,0.9636,0.9711,0.9613
90,0.9644,0.9704,0.9622
91,0.9643,0.9711,0.9626
92,0.9632,0.97,0.9604
93,0.9645,0.9705,0.9616
94,0.9632,0.9701,0.9613
95,0.9627,0.9698,0.9611
96,0.9633,0.9698,0.9614
97,0.963,0.9705,0.9608
98,0.9624,0.9706,0.96
99,0.9628,0.9702,0.9607
